wavelength,Intensity,Uncertainty
4424.09,1.22E-14,2.08E-16
4426.84,1.18E-14,2.05E-16
4429.59,1.25E-14,2.11E-16
4432.34,1.20E-14,2.06E-16
4435.09,1.28E-14,2.14E-16
4437.84,1.26E-14,2.11E-16
4440.59,1.29E-14,2.14E-16
4443.34,1.27E-14,2.12E-16
4446.09,1.25E-14,2.10E-16
4448.84,1.25E-14,2.10E-16
4451.59,1.22E-14,2.07E-16
4454.34,1.24E-14,2.09E-16
4457.09,1.24E-14,2.09E-16
4459.84,1.24E-14,2.09E-16
4462.59,1.25E-14,2.10E-16
4465.34,1.26E-14,2.10E-16
4468.09,1.30E-14,2.14E-16
4470.84,1.26E-14,2.11E-16
4473.59,1.23E-14,2.08E-16
4476.34,1.24E-14,2.08E-16
4479.09,1.24E-14,2.07E-16
4481.84,1.25E-14,2.08E-16
4484.59,1.26E-14,2.09E-16
4487.34,1.32E-14,2.13E-16
4490.09,1.32E-14,2.13E-16
4492.84,1.36E-14,2.17E-16
4495.59,1.37E-14,2.17E-16
4498.34,1.35E-14,2.15E-16
4501.09,1.33E-14,2.13E-16
4503.84,1.31E-14,2.11E-16
4506.59,1.30E-14,2.10E-16
4509.34,1.26E-14,2.07E-16
4512.09,1.24E-14,2.05E-16
4514.84,1.28E-14,2.08E-16
4517.59,1.22E-14,2.03E-16
4520.34,1.30E-14,2.09E-16
4523.09,1.34E-14,2.13E-16
4525.84,1.38E-14,2.15E-16
4528.59,1.37E-14,2.14E-16
4531.34,1.36E-14,2.13E-16
4534.09,1.34E-14,2.12E-16
4536.84,1.35E-14,2.12E-16
4539.59,1.34E-14,2.12E-16
4542.34,1.35E-14,2.12E-16
4545.09,1.28E-14,2.06E-16
4547.84,1.24E-14,2.03E-16
4550.59,1.26E-14,2.04E-16
4553.34,1.25E-14,2.03E-16
4556.09,1.28E-14,2.05E-16
4558.84,1.31E-14,2.07E-16
4561.59,1.33E-14,2.08E-16
4564.34,1.32E-14,2.08E-16
4567.09,1.31E-14,2.07E-16
4569.84,1.30E-14,2.06E-16
4572.59,1.31E-14,2.07E-16
4575.34,1.33E-14,2.08E-16
4578.09,1.34E-14,2.09E-16
4580.84,1.38E-14,2.11E-16
4583.59,1.40E-14,2.13E-16
4586.34,1.38E-14,2.11E-16
4589.09,1.38E-14,2.12E-16
4591.84,1.41E-14,2.14E-16
4594.59,1.41E-14,2.13E-16
4597.34,1.42E-14,2.14E-16
4600.09,1.36E-14,2.08E-16
4602.84,1.34E-14,2.08E-16
4605.59,1.34E-14,2.08E-16
4608.34,1.37E-14,2.10E-16
4611.09,1.34E-14,2.07E-16
4613.84,1.34E-14,2.07E-16
4616.59,1.33E-14,2.06E-16
4619.34,1.32E-14,2.05E-16
4622.09,1.35E-14,2.07E-16
4624.84,1.34E-14,2.06E-16
4627.59,1.37E-14,2.09E-16
4630.34,1.42E-14,2.11E-16
4633.09,1.42E-14,2.12E-16
4635.84,1.45E-14,2.14E-16
4638.59,1.46E-14,2.14E-16
4641.34,1.45E-14,2.13E-16
4644.09,1.46E-14,2.13E-16
4646.84,1.48E-14,2.15E-16
4649.59,1.49E-14,2.15E-16
4652.34,1.50E-14,2.16E-16
4655.09,1.48E-14,2.14E-16
4657.84,1.47E-14,2.13E-16
4660.59,1.46E-14,2.12E-16
4663.34,1.44E-14,2.11E-16
4666.09,1.42E-14,2.08E-16
4668.84,1.40E-14,2.07E-16
4671.59,1.43E-14,2.08E-16
4674.34,1.46E-14,2.11E-16
4677.09,1.49E-14,2.13E-16
4679.84,1.51E-14,2.14E-16
4682.59,1.54E-14,2.16E-16
4685.34,1.59E-14,2.19E-16
4688.09,1.64E-14,2.22E-16
4690.84,1.76E-14,2.30E-16
4693.59,1.94E-14,2.43E-16
4696.34,2.09E-14,2.51E-16
4699.09,2.19E-14,2.58E-16
4701.84,2.19E-14,2.58E-16
4704.59,2.17E-14,2.57E-16
4707.34,2.11E-14,2.53E-16
4710.09,2.01E-14,2.46E-16
4712.84,1.90E-14,2.40E-16
4715.59,1.79E-14,2.33E-16
4718.34,1.69E-14,2.27E-16
4721.09,1.62E-14,2.22E-16
